ind,id,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,Q95,ZEFF,TAV,LCOULOMB,QCYL5,TAUBOHM,RHOSTAR,BETASTAR,NUSTAR,OMEGACYCL
12469,6BSQUX,HGELM,ASDEX,0.2954,2.202,4.719,2.057,1.69,0.9731,0.2429585798816568,1.5,0.05083,19820624,6069,1.248,4.609,0.0,958.809546572464,15.171497026260212,3.6195296935393206,0.07461844,0.0060400152718544185,0.6621873634627163,0.3500554749738037,1.468
12474,TP1BLN,HSELM,ASDEX,0.2963,2.204,3.155,1.3439999999999999,1.697,0.9824,0.23983500294637594,1.5,0.05646,19820624,6084,1.212,4.393,0.0,1044.40905606077,15.458315283185623,3.5669170122873095,0.08295856,0.00635385700468604,0.4813710893035739,0.2027724440418323,1.4693333333333334
12475,OTHGXV,HGELM,ASDEX,0.2955,2.202,3.326,1.504,1.697,0.9755,0.24160282852091924,1.5,0.05996,19820624,6084,1.231,4.547,0.0,1168.8284770825,15.54447505745954,3.5998852139009885,0.08802128,0.006678552469534068,0.5689467107430602,0.17131558867891947,1.468
12476,6SDTMO,HGELM,ASDEX,0.29469999999999996,2.202,3.279,2.015,1.69,0.9727,0.2432544378698225,1.5,0.0462,19820624,6084,1.249,4.646,0.0,1225.18106403524,15.598677693830211,3.6344601893277066,0.0678216,0.006819357649585724,0.587949810238752,0.1535135744773429,1.468
12481,OZB7SP,HSELM,ASDEX,0.2975,2.202,3.518,1.3299999999999998,1.693,0.9981,0.23656231541642056,1.5,0.04987,19820624,6090,1.179,4.12,0.0,834.075762647381,15.178980940907358,3.500634913194378,0.07320916,0.005775519269655333,0.4294374332155381,0.3479329464964944,1.468
12482,LM0D1U,HSELM,ASDEX,0.2974,2.202,3.758,1.259,1.698,0.9795,0.24034157832744407,1.5,0.07189,19820624,6090,1.217,4.423,0.0,1042.76722792312,15.369292827398013,3.5567361607167274,0.10553451999999999,0.0063374989307540324,0.5735122668432575,0.2395877221980241,1.468
12483,47MX0Y,HGELM,ASDEX,0.2954,2.202,3.935,2.003,1.692,0.9691,0.2437352245862884,1.5,0.05236,19820624,6090,1.254,4.698,0.0,1146.43521728683,15.441060178331107,3.631378283374302,0.07686448,0.006575774469433259,0.6602262953724995,0.20773032039673306,1.468
12488,CT0JZ2,HSELM,ASDEX,0.2961,2.201,3.56,1.3559999999999999,1.689,0.9982,0.23718176435760804,1.5,0.0509,19820624,6091,1.218,4.15,0.0,859.366598079102,15.20291835492386,3.5253158375163336,0.07468726666666667,0.005863627444254285,0.4481481145578011,0.3324362945712115,1.4673333333333334
12490,REYENV,HGELM,ASDEX,0.29519999999999996,2.201,4.024,1.772,1.689,0.9777,0.24209591474245115,1.5,0.05678,19820624,6091,1.298,4.531,0.0,1085.97442313039,15.375697755701879,3.608429053944088,0.08331518666666667,0.006457743143096559,0.6401336760073095,0.2362125200186967,1.4673333333333334
12495,EEY2F2,HSELM,ASDEX,0.2355,2.204,3.295,1.2389999999999999,1.691,0.9709,0.24346540508574807,1.5,0.04114,19820701,6208,1.169,5.85,0.0,667.085112676923,14.988317582339683,4.5548148191481355,0.06044837333333334,0.005020029725283542,0.3211047118849655,0.6261623113676116,1.4693333333333334
12496,WT2PDE,HSELM,ASDEX,0.23609999999999998,2.204,3.408,1.47,1.684,0.9579,0.2477434679334917,1.5,0.04364,19820701,6208,1.199,6.269,0.0,804.09367069478,15.158255987077801,4.622118020086866,0.06412170666666667,0.0054388308654374105,0.40032825234728386,0.4438109433156538,1.4693333333333334
12497,EBKJGW,HSELM,ASDEX,0.236,2.202,3.404,1.7979999999999998,1.675,0.9532,0.2502686567164179,1.5,0.03805,19820701,6208,1.228,6.489,0.0,858.993127823501,15.22488833972059,4.665981218971502,0.0558574,0.005599695062850964,0.4279349947759353,0.38582917546593426,1.468
12502,BG7L8M,HSELM,ASDEX,0.3717,2.2,3.396,1.141,1.657,1.016,0.23741701870850937,1.5,0.06132,19820706,6292,1.181,3.183,0.0,948.562218803976,15.325251273380658,2.807797309454865,0.089936,0.006276015342190199,0.47230368486091173,0.20471365080326526,1.4666666666666668
12503,N24QYP,HGELM,ASDEX,0.3711,2.2,3.929,1.28,1.662,1.003,0.23977135980746092,1.5,0.07684,19820706,6292,1.22,3.321,0.0,1134.84541462614,15.431662275113567,2.840209174662552,0.11269866666666668,0.00677681248244689,0.6537422683838015,0.16656716063469906,1.4666666666666668
12504,1E1LGW,HGELM,ASDEX,0.3712,2.2,3.927,1.892,1.654,0.9976,0.24232164449818622,1.5,0.06196,19820706,6292,1.259,3.408,0.0,1350.43929198372,15.605850355501754,2.870286540793194,0.09087466666666667,0.007350134067101166,0.7775418909697474,0.11769373048764936,1.4666666666666668
12509,DI8HMD,HSELM,ASDEX,0.3721,2.199,3.654,1.259,1.658,1.015,0.23757539203860073,1.5,0.05808,19820706,6293,1.192,3.189,0.0,919.22999862466,15.25722815593296,2.805216890276537,0.08514528,0.0061731809299455116,0.4929188929754936,0.2331993134577535,1.466
12510,G6T9UW,HGELM,ASDEX,0.3704,2.201,3.999,1.3139999999999998,1.658,1.004,0.2400482509047045,1.5,0.07204,19820706,6293,1.221,3.32,0.0,1076.98106810637,15.370497957039,2.849745549629565,0.10570669333333335,0.006607072030399239,0.6308884539204163,0.18734783005087702,1.4673333333333334
12511,W0T6M3,HGELM,ASDEX,0.36979999999999996,2.2,4.034,1.9269999999999998,1.656,0.9974,0.24196859903381643,1.5,0.05651,19820706,6293,1.25,3.413,0.0,1220.81931092874,15.49150128222593,2.8771015438309155,0.08288133333333333,0.006990235278337434,0.7220630372492834,0.1477019742029021,1.4666666666666668
12517,26VX62,HGELM,ASDEX,0.3704,2.201,3.848,1.375,1.66,1.0,0.24066265060240966,1.5,0.07297,19820706,6294,1.225,3.364,0.0,1179.66104990575,15.480808687281776,2.8577064852327174,0.10707131333333332,0.006888900554182405,0.6649445175330271,0.1513594580246068,1.4673333333333334
12518,6UCAO1,HGELM,ASDEX,0.3699,2.2,3.919,1.884,1.655,0.997,0.24217522658610272,1.5,0.05776,19820706,6294,1.25,3.42,0.0,1256.20925019761,15.53453869734825,2.877489746716455,0.08471466666666667,0.007089061131802039,0.7218136325725981,0.13565928807658242,1.4666666666666668
12523,32BQ9X,HSELM,ASDEX,0.3712,2.2,3.33,1.3519999999999999,1.657,1.019,0.23657211828605915,1.5,0.04631,19820706,6295,1.178,3.15,0.0,868.693235496514,15.247106925641749,2.8019019294813376,0.06792133333333333,0.006027435804793288,0.424129521745021,0.23889748243294837,1.4666666666666668
12525,1GQ6H8,HGELM,ASDEX,0.3704,2.2,3.993,1.92,1.659,0.9972,0.24159132007233272,1.5,0.05607,19820706,6295,1.24,3.403,0.0,1216.07613402013,15.492716280068922,2.8678165272360605,0.082236,0.006974902010153316,0.7119473947880004,0.14749040844919578,1.4666666666666668
12530,MXD00X,HSELM,ASDEX,0.3725,2.2,4.273,1.307,1.676,1.016,0.23478520286396184,1.5,0.06065,19820708,6322,1.18,3.132,0.0,843.571181430847,15.09308923160517,2.771687393863218,0.08895333333333334,0.005917000029686599,0.5284969157120061,0.32565849574068595,1.4666666666666668
